from,to,weight
1,2,20
1,15,12
2,1,20
2,3,8
3,2,8
3,4,30
3,11,4
4,3,30
4,5,6
5,4,6
5,6,6
5,7,18
6,5,6
6,8,7
7,5,18
7,9,9
7,30,10
8,6,7
8,9,1
8,10,5
8,11,8
9,7,9
9,8,1
9,30,6
10,8,5
10,12,9
10,30,7
10,31,6
10,34,12
11,3,4
11,8,8
11,12,3
11,13,7
12,10,9
12,11,3
12,34,16
12,36,5
13,11,7
13,14,5
14,13,5
14,15,5
14,16,5
14,38,4
15,1,12
15,14,5
16,14,5
16,17,2
16,20,3
16,35,10
16,37,4
17,16,2
17,18,4
18,17,4
18,19,1
19,18,1
19,20,2
20,16,3
20,19,2
20,21,1
21,20,1
21,22,2
22,21,2
22,23,1
23,22,1
23,24,10
23,35,8
24,23,10
24,25,17
24,39,7
25,24,17
26,27,2
26,33,2
26,39,7
27,26,2
27,32,6
28,29,5
28,32,3
29,28,5
29,30,6
30,7,10
30,9,6
30,10,7
30,29,6
31,10,6
31,32,1
32,28,3
32,31,1
32,27,6
32,34,6
33,26,2
33,34,6
34,10,12
34,12,16
34,32,6
34,33,3
34,35,4
35,16,10
35,23,8
35,34,4
35,36,4
36,12,5
36,35,4
36,38,3
37,16,4
37,38,7
38,14,4
38,36,3
38,37,7
39,24,7
39,26,7
