from,to,weight
1,2,-0.872357758
1,15,-0.743184751
2,1,-0.872357758
2,3,-0.581718489
3,2,-0.581718489
3,4,-0.936944264
3,11,-0.097319708
4,3,-0.936944264
4,5,-0.420252228
5,4,-0.420252228
5,6,-0.420252228
5,7,-0.850828922
6,5,-0.420252228
6,8,-0.512518663
7,5,-0.850828922
7,9,-0.635540577
7,30,-0.678598246
8,6,-0.512518663
8,9,2.809072982
8,10,-0.29107922
8,11,-0.581718489
9,7,-0.635540577
9,8,2.809072982
9,30,-0.420252228
10,8,-0.29107922
10,12,-0.635540577
10,30,-0.512518663
10,31,-0.420252228
10,34,-0.743184751
11,3,-0.097319708
11,8,-0.581718489
11,12,0.225612812
11,13,-0.512518663
12,10,-0.635540577
12,11,0.225612812
12,34,-0.82391788
12,36,-0.29107922
13,11,-0.512518663
13,14,-0.29107922
14,13,-0.29107922
14,15,-0.29107922
14,16,-0.29107922
14,38,-0.097319708
15,1,-0.743184751
15,14,-0.29107922
16,14,-0.29107922
16,17,0.871477856
16,20,0.225612812
16,35,-0.678598246
16,37,-0.097319708
17,16,0.871477856
17,18,-0.097319708
18,17,-0.097319708
18,19,2.809072982
19,18,2.809072982
19,20,0.871477856
20,16,0.225612812
20,19,0.871477856
20,21,2.809072982
21,20,2.809072982
21,22,0.871477856
22,21,0.871477856
22,23,2.809072982
23,22,2.809072982
23,24,-0.678598246
23,35,-0.581718489
24,23,-0.678598246
24,25,-0.838164905
24,39,-0.512518663
25,24,-0.838164905
26,27,0.871477856
26,33,0.871477856
26,39,-0.512518663
27,26,0.871477856
27,32,-0.420252228
28,29,-0.29107922
28,32,0.225612812
29,28,-0.29107922
29,30,-0.420252228
30,7,-0.678598246
30,9,-0.420252228
30,10,-0.512518663
30,29,-0.420252228
31,10,-0.420252228
31,32,2.809072982
32,28,0.225612812
32,31,2.809072982
32,27,-0.420252228
32,34,-0.420252228
33,26,0.871477856
33,34,-0.420252228
34,10,-0.743184751
34,12,-0.82391788
34,32,-0.420252228
34,33,0.225612812
34,35,-0.097319708
35,16,-0.678598246
35,23,-0.581718489
35,34,-0.097319708
35,36,-0.097319708
36,12,-0.29107922
36,35,-0.097319708
36,38,0.225612812
37,16,-0.097319708
37,38,-0.512518663
38,14,-0.097319708
38,36,0.225612812
38,37,-0.512518663
39,24,-0.512518663
39,26,-0.512518663
