"","age","nev_mar","rural","school","tenure","wage"
"1",19,1,0,8,0.5,5
"2",27,1,1,6,4.75,5
"3",25,0,1,9,1.08333337306976,4
"4",29,0,0,17,1.16666662693024,5
"5",17,0,1,8,0.0833333358168602,4
"6",19,0,1,12,0,4
"7",20,0,1,10,0,5
"8",22,1,1,5,0.25,4
"9",24,1,0,10,1.08333337306976,3
"10",36,0,0,12,0.16666667163372,3
"11",28,0,0,12,1.33333337306976,5
"12",36,1,0,12,0.16666667163372,5
"13",19,0,1,12,0.16666667163372,4
"14",34,0,0,12,0.333333343267441,4
"15",23,1,0,11,1.66666662693024,10
"16",39,0,1,12,0.0833333358168602,9
"17",28,0,0,12,0.833333313465118,10
"18",32,0,0,9,8.83333301544189,10
"19",43,0,0,9,7.41666650772095,9
"20",41,0,0,10,0.75,9
"21",19,1,0,0,0.0833333358168602,9
"22",24,0,0,15,0.416666656732559,7
"23",24,1,1,15,2.5,10
"24",35,0,1,12,0.333333343267441,8
"25",21,1,0,12,0.0833333358168602,10
"26",36,0,1,12,2,10
"27",21,0,0,10,0.16666667163372,8
"28",27,0,1,12,0.833333313465118,7
"29",23,1,0,16,0.75,10
"30",21,1,0,9,0,8
"31",21,0,1,12,1.5,9
"32",23,0,1,11,0.16666667163372,7
"33",38,0,1,13,0.5,10
"34",19,1,0,12,0.333333343267441,10
"35",24,0,0,10,1.58333337306976,9
"36",35,1,0,12,0,8
"37",17,1,0,8,0.583333313465118,9
"38",34,0,0,13,1.58333337306976,10
"39",22,0,0,12,0.0833333358168602,10
"40",36,1,1,9,0.0833333358168602,10
"41",45,0,1,12,1.75,8
"42",22,1,0,9,0.25,8
"43",32,0,1,12,0.416666656732559,9
"44",27,0,1,5,0.666666686534882,10
"45",22,0,0,12,1.66666662693024,9
"46",34,0,1,13,0.5,8
"47",22,0,1,12,0.5,10
"48",25,0,1,9,0.5,9
"49",37,0,0,15,10,8
"50",23,0,1,10,0.0833333358168602,8
"51",25,0,0,7,0.416666656732559,6
"52",19,0,0,9,0.666666686534882,7
"53",28,0,1,6,0.916666686534882,10
"54",33,0,1,13,4.25,7
"55",19,1,1,12,0.25,10
"56",40,0,1,12,1.25,9
"57",27,0,1,12,0,10
"58",20,1,0,7,1.91666662693024,8
"59",33,0,0,11,2.25,10
"60",33,0,1,8,1.91666662693024,9
"61",43,0,1,12,15.8333330154419,10
"62",22,0,1,8,0.916666686534882,6
"63",25,0,0,12,0.0833333358168602,10
"64",35,1,1,12,0.0833333358168602,8
"65",19,1,1,12,0.0833333358168602,8
"66",24,0,1,12,1.58333337306976,9
"67",36,0,0,17,5.41666650772095,10
"68",25,1,1,8,0.833333313465118,10
"69",45,0,1,7,6.5,8
"70",26,0,1,6,0.333333343267441,8
"71",41,0,0,11,0.666666686534882,8
"72",21,0,0,11,0,8
"73",19,0,1,12,0.16666667163372,10
"74",20,1,0,12,0.16666667163372,7
"75",20,1,1,12,0.5,10
"76",32,1,0,12,1.91666662693024,10
"77",36,0,1,14,0.5,7
"78",43,0,1,11,0.25,9
"79",32,0,0,12,4.08333349227905,9
"80",38,0,0,12,0,8
"81",43,0,1,13,1.5,9
"82",42,0,0,8,0.25,9
"83",23,1,0,13,1.5,6
"84",36,0,0,13,15,9
"85",18,1,0,10,0.16666667163372,10
"86",21,0,0,12,0.0833333358168602,10
"87",30,0,1,8,0.333333343267441,9
"88",38,0,0,13,5.66666650772095,10
"89",32,0,0,0,0.16666667163372,10
"90",31,0,1,12,0.583333313465118,10
"91",30,0,0,16,1.5,10
"92",33,1,1,12,0.5,9
"93",28,0,1,13,1.91666662693024,10
"94",21,1,0,12,0.333333343267441,8
"95",21,1,1,12,0.416666656732559,7
"96",23,0,0,16,0.0833333358168602,10
"97",25,0,0,11,0.16666667163372,8
"98",19,1,1,12,0.5,13
"99",25,0,0,11,0,14
"100",35,0,1,7,6,14
"101",26,0,0,12,1.75,13
"102",24,0,0,12,0,11
"103",23,0,0,12,0.333333343267441,11
"104",40,0,0,12,0,15
"105",27,0,0,10,3.25,13
"106",26,0,0,12,1.83333337306976,13
"107",26,1,0,13,0.666666686534882,15
"108",26,0,1,12,1.08333337306976,12
"109",21,1,0,12,0,12
